"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"Chir01Ox-b18070.2",0.284692125251474,0.207,0.05,1,"GEP_25 and DEGs","No"
"Chir04Ox-b10990.2",0.5924440118697,0.276,0.059,2,"GEP_25 and DEGs","No"
"Chir06Ox-b04340.2",0.434532151218734,0.244,0.067,3,"GEP_25 and DEGs","No"
"Chir04Ox-b10020.2",0.361978750738161,0.356,0.077,4,"GEP_25 and DEGs","Yes"
"Chir05Ox-b21860.2",0.637510766308013,0.412,0.081,5,"GEP_25 and DEGs","No"
"Chir03Ox-b35370.2",0.286012273191471,0.245,0.092,6,"GEP_25","No"
"Chir01Ox-b43120.2",0.410510552794106,0.31,0.112,7,"GEP_25 and DEGs","No"
"Chir02Ox-b02960.2",0.300821788134429,0.312,0.126,8,"GEP_25","No"
"Chir04Ox-b23190.2",0.725094927906303,0.489,0.127,9,"GEP_25 and DEGs","No"
"Chir06Ox-b24210.2",0.405722605346172,0.36,0.131,10,"GEP_25 and DEGs","Yes"
"Chir07Ox-b11470.2",0.953883342947779,0.536,0.198,11,"GEP_50 and DEGs","No"
"Chir06Ox-b04360.2",0.704990281472299,0.516,0.2035,12,"DEGs","No"
"Chir06Ox-b04170.2",0.429010025667491,0.574,0.289,13,"GEP_50 and DEGs","No"
"Chir04Ox-b28020.2",1.1167820214559,0.738,0.3135,14,"DEGs","No"
"Chir01Ox-b08030.2",0.34514947140266,0.7025,0.337,15,"DEGs","Yes"
"Chir04Ox-b10970.2",0.740408458427594,0.779,0.3515,16,"DEGs","No"
"Chir04Ox-b21570.2",1.57308467194279,0.9385,0.3665,17,"DEGs","No"
"Chir06Ox-b18420.2",1.65442035929836,0.832,0.3875,18,"DEGs","No"
"Chir08Ox-b17400.2",1.45105883050382,0.877,0.3965,19,"DEGs","No"
"Chir04Ox-b28030.2",1.0160111326091,0.9075,0.417,20,"DEGs","Yes"
"Chir08Ox-b00290.2",0.58401224775319,0.8745,0.43,21,"DEGs","Yes"
"Chir03Ox-b19290.2",0.784962057249866,0.8065,0.488,22,"DEGs","No"
"Chir07Ox-b20580.2",1.41253353063281,0.978,0.4945,23,"DEGs","No"
"Chir05Ox-b19870.2",0.835493571271089,0.9365,0.5755,24,"DEGs","No"
"Chir01Ox-b20460.2",1.19440127400924,0.9385,0.6165,25,"DEGs","No"
"Chir06Ox-b31010.2",0.421420443524129,0.907,0.715,26,"GEP_50 and DEGs","No"
"Chir05Ox-b01160.2",0.324879061051529,0.926,0.857,27,"GEP_50 and DEGs","No"
