"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"Chir07Ox-b26490.2",0.262606244871521,0.141,0.011,1,"GEP_16","No"
"Chir03Ox-b16250.2",1.39575729819283,0.349,0.039,2,"GEP_16 and DEGs","No"
"Chir04Ox-b21900.2",1.11938708970192,0.3495,0.0645,3,"DEGs","No"
"Chir06Ox-b32080.2",0.503802616712728,0.316,0.067,4,"GEP_16 and DEGs","No"
"Chir01Ox-b40890.2",2.71178317493846,0.571,0.0955,5,"DEGs","No"
"Chir02Ox-b20340.2",1.96612418833493,0.686,0.112,6,"GEP_16 and DEGs","No"
"Chir05Ox-b14380.2",1.67876577524731,0.608,0.12,7,"GEP_16 and DEGs","No"
"Chir02Ox-b20100.2",0.606450762330904,0.443,0.122,8,"GEP_16 and DEGs","No"
"Chir05Ox-b05920.2",2.83365152835648,0.769,0.122,9,"GEP_16 and DEGs","No"
"Chir06Ox-b02660.2",0.769927856638353,0.439,0.162,10,"GEP_16 and DEGs","No"
"Chir06Ox-b14980.2",1.67031828541129,0.635,0.165,11,"GEP_16 and DEGs","No"
"Chir05Ox-b29240.2",2.39118023230857,0.863,0.174,12,"GEP_16 and DEGs","No"
"Chir01Ox-b41240.2",1.94289403261517,0.7865,0.213,13,"DEGs","No"
"Chir01Ox-b41230.2",2.87267471745857,0.766,0.225,14,"DEGs","No"
"Chir05Ox-b03710.2",2.60727597361449,0.8715,0.231,15,"DEGs","No"
"Chir01Ox-b40930.2",1.96531156840251,0.947,0.358,16,"DEGs","No"
"Chir06Ox-b15000.2",1.79275721672995,0.8245,0.391,17,"DEGs","No"
"Chir03Ox-b00610.2",1.25807314189341,0.766,0.3925,18,"DEGs","No"
"Chir01Ox-b40880.2",2.11598294679276,0.954,0.438,19,"DEGs","No"
"Chir06Ox-b11160.2",0.646482262889291,0.7775,0.444,20,"DEGs","Yes"
"Chir04Ox-b16600.2",1.9301687380912,0.9095,0.5005,21,"DEGs","No"
